[2021-12-01 10:08:59.042] activating extension
[2021-12-01 10:08:59.268] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:04.094] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:05.497] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:05.822] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:06.572] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:06.811] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:07.686] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:08.167] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:09.330] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:09.562] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:14.017] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:15.134] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:15.819] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:16.336] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:16.891] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:17.460] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:18.069] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:47.171] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:47.395] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:54.833] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:55.109] folding /var/www/app.lilya.test/.env
[2021-12-01 10:09:59.108] folding /var/www/app.lilya.test/.env
[2021-12-01 10:10:47.301] folding /var/www/app.lilya.test/.env
